REGION,COUNTRY,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KEN,2021,99.6,99.6,0.4
GLOBAL,KEN,2022,99.5,99.5,0.5
GLOBAL,KEN,2023,99.7,99.7,0.3
GLOBAL,KEN,2024,100.0,100.0,0.0
GLOBAL,KEN,2025,100.0,100.0,0.0
GLOBAL,KEN,2026,100.0,100.0,0.0
GLOBAL,KEN,2027,100.0,100.0,0.0
GLOBAL,KEN,2028,100.0,100.0,0.0
GLOBAL,KEN,2029,100.0,100.0,0.0
GLOBAL,KEN,2030,100.0,100.0,0.0
GLOBAL,KEN,2031,100.0,100.0,0.0
GLOBAL,KEN,2032,100.0,100.0,0.0
GLOBAL,KEN,2033,100.0,100.0,0.0
GLOBAL,KEN,2034,100.0,100.0,0.0
GLOBAL,KEN,2035,100.0,100.0,0.0
GLOBAL,KEN,2036,100.0,100.0,0.0
GLOBAL,KEN,2037,100.0,100.0,0.0
GLOBAL,KEN,2038,100.0,100.0,0.0
GLOBAL,KEN,2039,100.0,100.0,0.0
GLOBAL,KEN,2040,100.0,100.0,0.0
GLOBAL,KEN,2041,100.0,100.0,0.0
GLOBAL,KEN,2042,100.0,100.0,0.0
GLOBAL,KEN,2043,100.0,100.0,0.0
GLOBAL,KEN,2044,100.0,100.0,0.0
GLOBAL,KEN,2045,100.0,100.0,0.0
GLOBAL,KEN,2046,100.0,100.0,0.0
GLOBAL,KEN,2047,100.0,100.0,0.0
GLOBAL,KEN,2048,100.0,100.0,0.0
GLOBAL,KEN,2049,100.0,100.0,0.0
GLOBAL,KEN,2050,100.0,100.0,0.0
GLOBAL,TZA,2021,97.7,97.7,2.3
GLOBAL,TZA,2022,97.9,97.9,2.1
GLOBAL,TZA,2023,97.3,97.3,2.7
GLOBAL,TZA,2024,98.1,98.1,1.9
GLOBAL,TZA,2025,98.7,98.7,1.3
GLOBAL,TZA,2026,98.4,98.4,1.6
GLOBAL,TZA,2027,98.4,98.4,1.6
GLOBAL,TZA,2028,98.4,98.4,1.6
GLOBAL,TZA,2029,98.4,98.4,1.6
GLOBAL,TZA,2030,99.0,99.0,1.0
GLOBAL,TZA,2031,97.4,97.4,2.6
GLOBAL,TZA,2032,98.2,98.2,1.8
GLOBAL,TZA,2033,98.2,98.2,1.8
GLOBAL,TZA,2034,98.2,98.2,1.8
GLOBAL,TZA,2035,98.3,98.3,1.7
GLOBAL,TZA,2036,96.6,96.6,3.4
GLOBAL,TZA,2037,96.6,96.6,3.4
GLOBAL,TZA,2038,96.9,96.9,3.1
GLOBAL,TZA,2039,97.0,97.0,3.0
GLOBAL,TZA,2040,97.1,97.1,2.9
GLOBAL,TZA,2041,97.2,97.2,2.8
GLOBAL,TZA,2042,97.1,97.1,2.9
GLOBAL,TZA,2043,97.1,97.1,2.9
GLOBAL,TZA,2044,97.1,97.1,2.9
GLOBAL,TZA,2045,97.1,97.1,2.9
GLOBAL,TZA,2046,97.1,97.1,2.9
GLOBAL,TZA,2047,97.1,97.1,2.9
GLOBAL,TZA,2048,97.1,97.1,2.9
GLOBAL,TZA,2049,97.0,97.0,3.0
GLOBAL,TZA,2050,97.0,97.0,3.0
